id,idOriginalTweet,sourceOriginalTweet,len,date,source,likes,retweets
1602814208688676867,1602808542464905216,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,30,2022-12-13 23:54:20,b'@TheBabylonBee That is wonrful',0,0
1602814148077047809,1602790151486308356,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,263,2022-12-13 23:54:06,"b'@TheBabylonBee Absolutely the funnit thing I have read in a long time! Asi om that, you do realize that there is a chance that this may actually come true. Never put anything past OUR Prime Minister and his party. The more absurd, the greater the likely hood of .'",0,0
1602814132822188033,1602808542464905216,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,110,2022-12-13 23:54:02,b'@TheBabylonBee What a beautiful piece!  So well done!  Now we know who the gius is behind #KamalaHarris words!',0,0
1602814081911717892,1602808542464905216,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,52,2022-12-13 23:53:50,b'@TheBabylonBee So nice to see the Bee back on Twter!',0,0
1602813794614448128,1601352679648698368,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,253,2022-12-13 23:52:42,"b'@TheBabylonBee @antiartificial Soan yall think trading a non-ciz, out-of-work criminal and gaining the eedom for a red-blood, Texas born, Olympic gold medalist AMERICAN was not a good al?  \n\nWa till you hear what the former guy got for taliban prisoners'",0,0
1602813740335906817,1602808542464905216,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,105,2022-12-13 23:52:29,"b""@TheBabylonBee He's way more articulate than she could ever hope to be, and can at least remember his lin""",0,0
1602813635516063745,1602808987048869888,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,85,2022-12-13 23:52:04,"b'@TheBabylonBee Simple, YouTube PAYS! They ev pay ltle old me! https://t.co/VfodBjNcgA'",0,0
1602813540309540864,1602790151486308356,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,66,2022-12-13 23:51:41,b'@TheBabylonBee Honorary Canadian Medical Licse in Assisted suici .',0,0
1602813520592224256,1602808542464905216,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,183,2022-12-13 23:51:36,"b'@TheBabylonBee Im so mad at you. Do you know how much Wild Turkey 101 is? Thanks so much for making me sp out a gerous sip onto the back porch. Gotta go, s not going to clean self up!'",0,0
1602813448563351553,1602739149345521665,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,31,2022-12-13 23:51:19,b'@TheBabylonBee The bee is gius!',0,0
1602813428082556930,1602808542464905216,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,31,2022-12-13 23:51:14,b'@TheBabylonBee That is perfect.',0,0
1602813348902359041,1602808542464905216,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,50,2022-12-13 23:50:55,"b""@TheBabylonBee Bin's Whe House should promote him.""",0,0
1602813335153831937,1602808542464905216,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,73,2022-12-13 23:50:52,b'@TheBabylonBee Omg  she really speaks like that? Im sorry for you America',0,0
1602813291277029378,1602408988666171407,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,282,2022-12-13 23:50:42,"b'@TheBabylonBee Why are people getting upset about this? It works for all sis if  becom more of a realy.. Canadians voting for Pierre Poilievre are basically voting for mass suicis to take place in Canada. If he wins a few elections, Vancouver could become a conservative stronghold.'",0,0
1602813105045934081,1602808542464905216,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,88,2022-12-13 23:49:57,b'@TheBabylonBee Satire / truth? Only the @TheBabylonBee &amp; @KamalaHarris know for sure',0,0
1602813045901860867,1602808542464905216,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,42,2022-12-13 23:49:43,b'@TheBabylonBee Bartholomew for print!\nNow!',0,0
1602812995771547648,1602808987048869888,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,45,2022-12-13 23:49:31,b'@TheBabylonBee The part about Ukraine is gius',0,0
1602812939328692224,1602808542464905216,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,45,2022-12-13 23:49:18,b'@TheBabylonBee Space un us all\n\nThe alis: huh',0,0
1602812883838111747,1602808542464905216,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,14,2022-12-13 23:49:04,b'@TheBabylonBee',0,0
1602812844768198665,1602808542464905216,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,19,2022-12-13 23:48:55,b'@TheBabylonBee Lmao',0,0
1602812799557697538,1602808542464905216,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,27,2022-12-13 23:48:44,b'@TheBabylonBee Love his EV!',0,0
1602812790292586496,1602808542464905216,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,36,2022-12-13 23:48:42,b'@TheBabylonBee This is absolute gold',0,0
1602812785502687233,1602808542464905216,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,58,2022-12-13 23:48:41,b'@TheBabylonBee I thought  was an alpha version of chatGPT?',1,0
1602812632427552768,1602808542464905216,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,24,2022-12-13 23:48:05,b'@TheBabylonBee SPOT ON!!',0,0
1602812598910582784,1602790151486308356,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,21,2022-12-13 23:47:57,b'@TheBabylonBee Cheeky',0,0
1602812538458374144,1602808542464905216,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,65,2022-12-13 23:47:42,"b""@TheBabylonBee I'm starting a super-PAC for Oliver.  Oliver 2044!""",0,0
1602812443591409664,1602808542464905216,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,53,2022-12-13 23:47:20,b'@TheBabylonBee @collinozkepi @Alaqfarqwad @notubutmee',0,0
1602812377900122113,1602808542464905216,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,31,2022-12-13 23:47:04,b'@TheBabylonBee Ah  mak sse now.',0,0
1602812334329798660,1602808542464905216,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,24,2022-12-13 23:46:53,b'@TheBabylonBee Hilarious',0,0
1602812333365010433,1602808542464905216,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,68,2022-12-13 23:46:53,b'@TheBabylonBee He sounds way too intelligt to be working for Kamala.',0,0
1602812321440595970,1602739149345521665,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,30,2022-12-13 23:46:50,b'@TheBabylonBee @PacificReports',0,0
1602812287651192832,1602808542464905216,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,35,2022-12-13 23:46:42,"b'@TheBabylonBee Hilarious, and true!'",0,0
1602812253979512832,1602808542464905216,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,55,2022-12-13 23:46:34,b'@TheBabylonBee Kamala is incredibly painful to list to.',0,0
1602812167362940928,1602808542464905216,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,23,2022-12-13 23:46:14,b'@TheBabylonBee Nailed !',0,0
1602812105442328577,1602808542464905216,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,64,2022-12-13 23:45:59,"b'@TheBabylonBee Omg, well done BB, well done!!!  Instant classic.'",0,0
1602812071976095744,1602790151486308356,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,17,2022-12-13 23:45:51,b'@TheBabylonBee Y.',0,0
1602812070382149634,1602808542464905216,Watch more videos on our Youtube channel: https://t.co/N0dyz3EWfa,14,2022-12-13 23:45:51,b'@TheBabylonBee',0,0
1602814208688676867,1602808542464905216,Meet Kamala Harris's 6-Year-Old Speechwriter https://t.co/nvGXYTXZ0x,30,2022-12-13 23:54:20,b'@TheBabylonBee That is wonrful',0,0
1602814148077047809,1602790151486308356,Meet Kamala Harris's 6-Year-Old Speechwriter https://t.co/nvGXYTXZ0x,263,2022-12-13 23:54:06,"b'@TheBabylonBee Absolutely the funnit thing I have read in a long time! Asi om that, you do realize that there is a chance that this may actually come true. Never put anything past OUR Prime Minister and his party. The more absurd, the greater the likely hood of .'",0,0
1602814132822188033,1602808542464905216,Meet Kamala Harris's 6-Year-Old Speechwriter https://t.co/nvGXYTXZ0x,110,2022-12-13 23:54:02,b'@TheBabylonBee What a beautiful piece!  So well done!  Now we know who the gius is behind #KamalaHarris words!',0,0
1602814081911717892,1602808542464905216,Meet Kamala Harris's 6-Year-Old Speechwriter https://t.co/nvGXYTXZ0x,52,2022-12-13 23:53:50,b'@TheBabylonBee So nice to see the Bee back on Twter!',0,0
1602813794614448128,1601352679648698368,Meet Kamala Harris's 6-Year-Old Speechwriter https://t.co/nvGXYTXZ0x,253,2022-12-13 23:52:42,"b'@TheBabylonBee @antiartificial Soan yall think trading a non-ciz, out-of-work criminal and gaining the eedom for a red-blood, Texas born, Olympic gold medalist AMERICAN was not a good al?  \n\nWa till you hear what the former guy got for taliban prisoners'",0,0
1602813740335906817,1602808542464905216,Meet Kamala Harris's 6-Year-Old Speechwriter https://t.co/nvGXYTXZ0x,105,2022-12-13 23:52:29,"b""@TheBabylonBee He's way more articulate than she could ever hope to be, and can at least remember his lin""",0,0
1602813635516063745,1602808987048869888,Meet Kamala Harris's 6-Year-Old Speechwriter https://t.co/nvGXYTXZ0x,85,2022-12-13 23:52:04,"b'@TheBabylonBee Simple, YouTube PAYS! They ev pay ltle old me! https://t.co/VfodBjNcgA'",0,0
1602813540309540864,1602790151486308356,Meet Kamala Harris's 6-Year-Old Speechwriter https://t.co/nvGXYTXZ0x,66,2022-12-13 23:51:41,b'@TheBabylonBee Honorary Canadian Medical Licse in Assisted suici .',0,0
1602813520592224256,1602808542464905216,Meet Kamala Harris's 6-Year-Old Speechwriter https://t.co/nvGXYTXZ0x,183,2022-12-13 23:51:36,"b'@TheBabylonBee Im so mad at you. Do you know how much Wild Turkey 101 is? Thanks so much for making me sp out a gerous sip onto the back porch. Gotta go, s not going to clean self up!'",0,0
